OBJECTID,ctyua19cd,ctyua19nm,ctyua19nmw,bng_e,bng_n,long,lat,Shape__Area,Shape__Length,GlobalID
1,E06000001,Hartlepool, ,447160,531474,-1.27018,54.67614,96845510.2462463,50305.3250575963,70a72826-c9a1-4826-9b47-ccebf29eef07
2,E06000002,Middlesbrough, ,451141,516887,-1.21099,54.54467,52908459.4558716,34964.4063127193,77377060-55e8-41e2-8fa0-f0e450f22b5a
3,E06000003,Redcar and Cleveland, ,464361,519597,-1.00608,54.56752,248679106.107452,83939.752512612,922557f5-4e33-4fc1-afe6-98d2906dc9ce
4,E06000004,Stockton-on-Tees, ,444940,518183,-1.30664,54.556911,207159134.052963,87075.8608238664,148a3f71-5d57-455e-8851-05c075f8b306
5,E06000005,Darlington, ,428029,515648,-1.56835,54.535339,198812770.766724,91926.8395447382,87021dc3-c6da-4cec-bd9f-6ea5ac4ff744
6,E06000006,Halton, ,354246,382146,-2.68853,53.33424,80285487.9638062,66618.9139640829,1e0945d1-5dc4-493e-8fb4-9d6ee8b9f3f3
7,E06000007,Warrington, ,362744,388456,-2.56167,53.391628,178628103.877419,71840.6701053445,b9acc64f-dbb4-4588-a7a5-648474310393
8,E06000008,Blackburn with Darwen, ,369490,422806,-2.4636,53.700802,139386372.837677,55099.1506570023,9edffe71-e419-41f0-82c4-f89deb790607
9,E06000009,Blackpool, ,332819,436635,-3.02199,53.82164,33695601.8226013,30031.4085097493,728f1f70-71f1-47a5-8a3b-473070dce86b
10,E06000010,"Kingston upon Hull, City of", ,511894,431650,-0.30382,53.769199,71407321.3833923,41191.839744039,f80cc17d-6f06-4569-8ad4-ef930a89cf47
11,E06000011,East Riding of Yorkshire, ,488056,443597,-0.66195,53.881119,2407736417.91599,342145.564461025,631cc173-bf3c-42e2-99fc-4dfebcad2e38
12,E06000012,North East Lincolnshire, ,523465,404564,-0.13911,53.52327,190515165.006149,79044.1915444955,183c12b3-7538-4211-ac3b-748ee919d320
13,E06000013,North Lincolnshire, ,497800,410993,-0.52407,53.58643,851248285.548187,180169.926314652,ad62f095-3cee-4cb8-99dc-f092d903555a
14,E06000014,York, ,460864,452589,-1.07375,53.96582,275546399.143387,84074.3459373033,7d7de5dd-8b8a-4917-9299-b5a1cafd6567
15,E06000015,Derby, ,435609,335375,-1.47189,52.914639,78270268.2160492,40201.8369858685,cbec0cb4-a9f8-4ce8-bc6a-568b3b9acfbc
16,E06000016,Leicester, ,458946,304594,-1.1304,52.635921,73589165.1551971,40830.2301887663,9759f792-1971-4efc-856c-467d5ff2e266
17,E06000017,Rutland, ,492992,308655,-0.6263,52.667648,392185479.476913,96395.3187509396,714078d3-e9ce-42a1-b4fa-3a34ea0aff77
18,E06000018,Nottingham, ,456082,339969,-1.16667,52.954189,75870408.9552002,49574.8901430337,01515c42-59c8-4519-94b9-b22802f6b97f
19,E06000019,"Herefordshire, County of", ,349434,242834,-2.73931,52.081539,2180535922.072,285426.725625785,befb2d47-6a48-450a-9b49-7f29b57c5e2c
20,E06000020,Telford and Wrekin, ,367035,313057,-2.48941,52.714169,291802973.438316,93575.1938714998,519b88a1-ab5d-4208-9533-401c72e465e3
21,E06000021,Stoke-on-Trent, ,389438,346652,-2.15888,53.017071,92988650.0173569,51304.0331368415,55583210-a658-40dc-b655-217316b11b25
22,E06000022,Bath and North East Somerset, ,366217,161999,-2.48654,51.356041,348611816.21056,107062.696328706,72811782-71ef-4eba-9300-57a656f23aa5
23,E06000023,"Bristol, City of", ,359990,174846,-2.57742,51.471149,110320041.55611,58260.2369001144,fe5eda26-9b12-4d6e-a10a-e921f0f6c3a5
24,E06000024,North Somerset, ,347613,166719,-2.75439,51.397072,374705235.582317,113129.327916102,6a3e4fe6-cff2-404f-b245-e25c996778cd
25,E06000025,South Gloucestershire, ,367559,183198,-2.46922,51.54673,499853753.458225,113237.408942735,d57376e4-dec1-4aed-b015-6975dfa71a77
26,E06000026,Plymouth, ,249945,58255,-4.11297,50.404942,82446416.5613241,54633.373433349,12a4753a-d5ab-4fc5-9576-95f74c4ea340
27,E06000027,Torbay, ,289730,64613,-3.55523,50.470921,65455906.7753878,55423.7203649068,ed83a550-0c02-4839-bb3f-644089f0b9c5
28,E06000030,Swindon, ,418551,186564,-1.73367,51.577629,227720526.640511,83649.254196991,01716d9b-aa3c-435c-a2af-659556b4242e
29,E06000031,Peterborough, ,517372,300777,-0.26874,52.59214,342190158.161911,97196.0688186069,95fb0809-8fc5-40c2-95b9-0d8504c9117b
30,E06000032,Luton, ,508606,222559,-0.42319,51.891022,44068117.7992706,30772.5559397546,c93657d1-2598-4e65-a864-0aa3086e279c
31,E06000033,Southend-on-Sea, ,587777,186837,0.706923,51.549171,44692735.3388367,36478.5882663435,e9608abf-9f2b-4bea-ac68-7d350da607eb
32,E06000034,Thurrock, ,562123,181590,0.334861,51.509979,161110777.921547,71948.0397558889,1b19efd0-b304-466f-8572-838050f019bc
33,E06000035,Medway, ,578207,175198,0.563174,51.44772,190967950.321487,115739.730006122,9ca1c546-00f3-4419-ac16-f4f38b102d18
34,E06000036,Bracknell Forest, ,488169,168792,-0.73363,51.411301,108233672.335564,57917.0191370737,eeccc98c-dbd2-420a-992d-ee41b3d380ac
35,E06000037,West Berkshire, ,450575,172095,-1.27364,51.445591,701217777.186142,143114.430665937,8a302397-940c-4c2d-82ac-467791c7e9bc
36,E06000038,Reading, ,470226,173154,-0.99071,51.453018,41326311.0230942,30503.9475666732,c00b205f-d740-4e6e-84ab-af2b04971411
37,E06000039,Slough, ,498920,179246,-0.57617,51.503502,32201925.6620255,37004.5367813503,032e6e9b-580b-450f-8672-1336e22748bf
38,E06000040,Windsor and Maidenhead, ,492079,176541,-0.67541,51.480339,197413883.6549,102626.060278222,adf0a14d-1863-4dd1-8099-92df4bdd61c7
39,E06000041,Wokingham, ,476624,169902,-0.89935,51.422958,179124859.588287,75874.0016677131,338064f8-6cbb-46ea-af92-36e1a7c66cf3
40,E06000042,Milton Keynes, ,486408,242308,-0.7407,52.072411,309327268.513161,87925.407811009,01a829d1-0a91-4ad7-af43-69f89961e500
